transaction_id,user_id,timestamp,amount,merchant_type,location,hour,day_of_week,is_weekend,is_late_night,amount_vs_avg,is_home_city,is_known_merchant,fraud_pattern,is_fraud
28046f9d-1fbd-46f8-aea0-ecbe69fc872e,U0181,2024-05-30T19:34:00,768.63,Travel,Dubai,19,3,0,0,7.164,0,1,none,0
aced0341-bed4-4957-b5b0-2a51c4d87216,U0145,2024-12-07T17:47:00,131.01,Online Retail,Delhi,17,5,1,0,2.029,1,1,none,0
bd7517a5-39d9-487c-b0e5-423799091d8d,U0066,2024-06-09T17:22:00,103.41,Online Retail,Mumbai,17,6,1,0,1.518,1,1,none,0
b815df09-3302-48bd-a6c1-f2f8cf88f841,U0141,2024-04-14T16:58:00,1091.78,Casino,Mumbai,16,6,1,0,26.768,1,1,none,0
d1f0bd16-d5fd-4bb4-9467-66300c1635a5,U0177,2024-07-04T20:46:00,30.16,Gas Station,Bangalore,20,3,0,0,0.295,1,1,none,0
fbe8958e-c143-44b8-b7cc-ddb0e024c1a1,U0072,2024-06-01T11:51:00,930.5,Casino,Chennai,11,5,1,0,21.569,1,1,none,0
0df0a414-00f3-4d45-9cc9-7ee47ca2df37,U0048,2024-06-12T17:44:00,3891.41,Luxury Goods,Chennai,17,2,0,0,25.113,1,1,none,0
03b6e6e7-ee15-410f-8edf-e7b22851316d,U0007,2024-11-05T18:02:00,47.9,Pharmacy,Delhi,18,1,0,0,0.685,1,1,none,0
e66c99ed-bab6-4405-bb11-c3d2eeee2817,U0166,2024-03-26T09:03:00,190.67,Online Retail,Delhi,9,1,0,0,1.005,1,1,none,0
cfb9d9bb-7b5d-4bf2-82bd-13f87ea62589,U0044,2024-07-01T23:56:00,48.42,Restaurants,Chennai,23,0,0,0,0.49,1,1,none,0
bbaac80e-d4ae-4fce-a49e-49d7b0671a3c,U0064,2024-08-06T15:07:00,885.62,Travel,Mumbai,15,1,0,0,5.57,1,1,none,0
0d9bb45c-acd3-48d1-85be-56b7cfb6905a,U0032,2024-09-11T17:31:00,68.8,Restaurants,Bangalore,17,2,0,0,1.151,1,1,none,0
fe1f408d-a52d-43e8-88c9-9b5e1b83f11c,U0005,2024-09-30T20:20:00,22.12,Grocery,Delhi,20,0,0,0,0.696,1,1,none,0
151f2f31-a75f-4ce3-8646-3c3dc55a3095,U0044,2024-01-29T17:32:00,69.57,Grocery,London,17,0,0,0,0.704,0,1,none,0
aa5e2f88-4888-44e2-bfda-c5371a3440d3,U0182,2024-05-05T14:32:00,192.33,Online Retail,Delhi,14,6,1,0,2.968,1,1,none,0
00d69116-96c6-45f6-b45c-5564eb2c46e1,U0054,2024-12-22T16:38:00,357.74,Electronics,Chennai,16,6,1,0,5.79,1,1,none,0
34b8c2c9-26c3-4270-b6ea-5a1926811375,U0108,2024-12-18T15:24:00,701.78,Casino,Delhi,15,2,0,0,3.98,1,1,none,0
315a2eaf-cf77-4420-b6e3-08829997b8b7,U0018,2024-08-29T15:54:00,963.52,Casino,Chennai,15,3,0,0,5.301,1,1,none,0
749567e5-c73a-48bb-b8ce-4c2beca1ed81,U0233,2024-11-19T18:16:00,48.75,Grocery,Hyderabad,18,1,0,0,0.206,1,1,none,0
9ce430de-ab54-4edc-b916-6b5903c97da3,U0088,2024-08-11T18:53:00,20.67,Pharmacy,Delhi,18,6,1,0,0.156,1,1,none,0
7f694b39-8ed8-4ba3-847e-34809a0f0b47,U0103,2024-05-04T08:22:00,84.63,ATM,Chennai,8,5,1,0,0.521,1,1,none,0
5b57c2fe-7fa0-4ff2-82de-99d1f1ffc63c,U0181,2024-01-21T14:17:00,450.93,Casino,Bangalore,14,6,1,0,4.203,1,1,none,0
9f3f6aab-ba74-4464-b75f-efc058561f0f,U0039,2024-10-06T12:58:00,45.94,Gas Station,Delhi,12,6,1,0,0.303,1,1,none,0
36f8e6c6-cc6e-4ef7-be8b-58828c86b8bb,U0126,2024-11-02T20:29:00,21.31,Gas Station,New York,20,5,1,0,0.073,0,1,none,0
7913ae4f-4bf8-4cf0-8c81-5086a6ad1233,U0125,2024-04-02T20:50:00,1331.96,Electronics,Chennai,20,1,0,0,11.122,0,1,location_mismatch,1
7f9bde65-133c-4267-865c-ff1974af916f,U0139,2024-10-03T18:14:00,59.26,Restaurants,Mumbai,18,3,0,0,0.064,1,1,none,0
fdab8446-afbd-43c4-89b7-7ec40b144dab,U0035,2024-08-14T19:20:00,474.64,Travel,Bangalore,19,2,0,0,2.137,1,1,none,0
11e1f11b-5364-41d9-8b76-b49d6318cd5b,U0245,2024-10-15T16:41:00,726.28,Travel,Hyderabad,16,1,0,0,22.598,1,1,none,0
14772944-71bc-4272-9ea6-54279273492e,U0198,2024-09-29T03:26:00,2559.59,Luxury Goods,Mumbai,3,6,1,1,28.551,1,1,late_night_high_value,1
10e07ed9-6836-45f0-a67b-908ba7d02484,U0215,2024-04-19T07:15:00,13.61,Pharmacy,Bangalore,7,4,0,0,0.068,1,1,none,0
db0bbcd0-cb1a-4854-8084-c793a46a2e59,U0073,2024-03-03T16:11:00,78.89,Casino,Chennai,16,6,1,0,0.589,1,1,none,0
b5fce167-cf5c-4a5d-b340-7f4dfcc53cb5,U0235,2024-09-22T19:41:00,240.98,ATM,Chennai,19,6,1,0,4.518,1,1,none,0
1749cc5b-01da-45d9-86a1-c9a8290b107c,U0057,2024-07-03T10:52:00,64.16,Gas Station,Bangalore,10,2,0,0,0.216,1,1,velocity_fraud,1
741fe1b6-2fd8-447d-a81a-da09e83fb5c2,U0003,2024-11-05T07:01:00,2991.89,Electronics,Hyderabad,7,1,0,0,15.662,1,1,unusual_amount,1
3577ccba-3ae9-494a-8dd7-ad5dda4823b7,U0102,2024-04-29T23:42:00,1493.5,Travel,Mumbai,23,0,0,0,22.063,1,1,none,0
bbe0aa64-1447-4cff-8907-fd38ce2103c9,U0174,2024-03-25T22:59:00,1.0,Restaurants,Hyderabad,22,0,0,0,0.031,1,1,none,0
981baefc-fb54-436f-9630-39f7a3aaee11,U0198,2024-05-06T09:07:00,1091.87,Electronics,Mumbai,9,0,0,0,12.179,1,1,none,0
5bee9cee-c4cf-4910-a19a-db9ac72062fc,U0133,2024-02-13T16:56:00,155.07,Online Retail,Bangalore,16,1,0,0,2.058,1,1,none,0
cfc1ef58-8f4b-43d3-82a8-dda848efd496,U0010,2024-02-29T06:01:00,121.14,Gas Station,Chennai,6,3,0,0,0.666,1,0,velocity_fraud,1
e24bbac4-68c9-41b4-b6c9-d1ad31df1963,U0022,2024-06-22T17:25:00,42.94,Restaurants,Mumbai,17,5,1,0,0.179,1,1,none,0
75a140b7-7fb4-429f-a0c9-6565cdac587d,U0141,2024-07-29T16:40:00,1390.43,Luxury Goods,Mumbai,16,0,0,0,34.09,1,1,none,0
18f76290-3156-4a6c-a200-11247afe4f12,U0195,2024-11-17T18:03:00,1049.33,Travel,Singapore,18,6,1,0,23.848,0,1,none,0
64ef2d90-276e-492f-a747-17054afaa2e9,U0098,2024-08-25T19:20:00,399.66,Electronics,Hyderabad,19,6,1,0,3.225,0,1,none,0
cadacfb7-855b-41fb-896a-654c3a75975a,U0111,2024-12-29T18:36:00,1.0,Electronics,Bangalore,18,6,1,0,0.009,1,1,none,0
a10bc8f3-a51a-48a3-8874-c8731701e913,U0044,2024-04-24T10:23:00,48.68,Restaurants,Chennai,10,2,0,0,0.493,1,1,none,0
